source,news_id,symbol,stock_name,title,time,published_at,raw,title_norm,title_sentiment,title_confidence,uncertainty_score,story_repeat_count,story_source_breadth,story_first_seen,news_novelty_score,news_source_breadth_score,news_diffusion_score,news_score
NAVER_FINANCE,NAVER_FINANCE,042660,한화오션,"대법원, “실적 연동 성과급은 임...",,2026-03-22 00:00:00+09:00,"{'id': 'NAVER_FINANCE', 'code': '042660', 'name': '한화오션', 'title': '대법원, “실적 연동 성과급은 임...', 'published_at': '2026-03-22T00:00:00+09:00', 'link': 'https://finance.naver.com/item/news_read.naver?article_id=0002221480&office_id=138&code=042660&sm=entity_id.basic', 'provider': 'NAVER_FINANCE'}",대법원 실적 연동 성과급은 임,1.0,1.0,0.0,1.0,1.0,2026-03-22 00:00:00+09:00,1.0,0.5,0.6228060421555648,5.106961965657746
NAVER_FINANCE,NAVER_FINANCE,042660,한화오션,"""17년째 1위"" 세계 상업용 디스플레이 3대 중 1대는...",,2026-03-21 00:00:00+09:00,"{'id': 'NAVER_FINANCE', 'code': '042660', 'name': '한화오션', 'title': '""17년째 1위"" 세계 상업용 디스플레이 3대 중 1대는...', 'published_at': '2026-03-21T00:00:00+09:00', 'link': 'https://finance.naver.com/item/news_read.naver?article_id=0000045517&office_id=648&code=042660&sm=entity_id.basic', 'provider': 'NAVER_FINANCE'}",17년째 1위 세계 상업용 디스플레이 3대 중 1대는,0.0,0.0,0.0,1.0,1.0,2026-03-21 00:00:00+09:00,1.0,0.5,0.5079952373341137,2.643827182103035
GOOGLE_NEWS_RSS,GOOGLE_NEWS_RSS,042660,한화오션,"한화오션 고환율 파도 올라탔다…1,500원대 환율 조선업 최대 수혜주",,,"{'id': 'GOOGLE_NEWS_RSS', 'code': '042660', 'name': '한화오션', 'title': '한화오션 고환율 파도 올라탔다…1,500원대 환율 조선업 최대 수혜주', 'published_at': 'Mon, 16 Mar 2026 23:20:48 GMT', 'link': 'https://news.google.com/rss/articles/CBMicEFVX3lxTE8yS1V5RWRiRlFTMFRaa1d5UXZzTl9hMHFGYnhwT2phMmhabWV5UVlMSENqQVdoS3c3N0paVTFpYzh6MUxLT2NuS0RIZkJid0lVT0lrenNlWjZMbEVpSFFBenhNdGczTzZLcUMwM3hlQ2w?oc=5', 'provider': '연합인포맥스'}",한화오션 고환율 파도 올라탔다 1 500원대 환율 조선업 최대 수혜주,0.0,0.0,0.0,1.0,1.0,,1.0,0.5,0.8868528072345416,3.6868528072345415
GOOGLE_NEWS_RSS,GOOGLE_NEWS_RSS,042660,한화오션,[단독] 질식사 46일만 '또 사고' … 한화오션에코텍 잇단 중대재해,,,"{'id': 'GOOGLE_NEWS_RSS', 'code': '042660', 'name': '한화오션', 'title': ""[단독] 질식사 46일만 '또 사고' … 한화오션에코텍 잇단 중대재해"", 'published_at': 'Mon, 16 Mar 2026 02:10:07 GMT', 'link': 'https://news.google.com/rss/articles/CBMib0FVX3lxTE5qNmF0Y0NnbEtOWUVQTjhYMGJvd1NFUllCTXRLRVItMW05SWVES2Y4bjdhMG4yZk00bnpoakRlUEhPSFJBdDR4UF9VeWZnN3E3XzQxSW1GM1Jld0FwVWFEYlo2a1dwSm5DOVhnRmF4SdIBc0FVX3lxTE5IblYxb2t6Slk4ekZXV3didDFlelBxQUY1YzlNcVFWT3U1VjJ2UzllQ1YzcEZ2MHNPdF9FYl9BTE94d1ZGUV8zVU4tNTZDckNZWm96WmxFa0ZnbHBCT3BvYnBFVms2bTJROGt6WVY1X2ZBOGM?oc=5', 'provider': '세이프타임즈'}",단독 질식사 46일만 또 사고 한화오션에코텍 잇단 중대재해,0.0,0.0,0.0,1.0,1.0,,1.0,0.5,0.8868528072345416,3.6868528072345415
GOOGLE_NEWS_RSS,GOOGLE_NEWS_RSS,042660,한화오션,"한화오션, 그리스 해양 방산 시장 진출",,,"{'id': 'GOOGLE_NEWS_RSS', 'code': '042660', 'name': '한화오션', 'title': '한화오션, 그리스 해양 방산 시장 진출', 'published_at': 'Thu, 19 Mar 2026 05:59:06 GMT', 'link': 'https://news.google.com/rss/articles/CBMiZkFVX3lxTFB5TGlqQzFSb3ppSW1SMnpSakdBZENmSnFVa1pqS0Z5SEV3YUxSMDUycGdIX0ZHM2ZNVUJtVnFiLUNscWNtNWpsTWc0T3NJN20xTUMtTTM2YklDVm9KSG1xd3RQNFhmdw?oc=5', 'provider': '디일렉'}",한화오션 그리스 해양 방산 시장 진출,0.0,0.0,0.0,1.0,1.0,,1.0,0.5,0.8868528072345416,3.6868528072345415
NAVER_FINANCE,NAVER_FINANCE,010130,고려아연,[미리보는 이데일리 신문]전폭 지원 정부·통신…수...,,2026-03-22 00:00:00+09:00,"{'id': 'NAVER_FINANCE', 'code': '010130', 'name': '고려아연', 'title': '[미리보는 이데일리 신문]전폭 지원 정부·통신…수...', 'published_at': '2026-03-22T00:00:00+09:00', 'link': 'https://finance.naver.com/item/news_read.naver?article_id=0006240542&office_id=018&code=010130&sm=entity_id.basic', 'provider': 'NAVER_FINANCE'}",미리보는 이데일리 신문 전폭 지원 정부 통신 수,0.0,0.0,0.0,1.0,1.0,2026-03-22 00:00:00+09:00,1.0,0.5,0.6228060421555648,2.9774030140320846
NAVER_FINANCE,NAVER_FINANCE,010130,고려아연,주총 직전 불거진 '사칭 위임장' ...,,2026-03-22 00:00:00+09:00,"{'id': 'NAVER_FINANCE', 'code': '010130', 'name': '고려아연', 'title': ""주총 직전 불거진 '사칭 위임장' ..."", 'published_at': '2026-03-22T00:00:00+09:00', 'link': 'https://finance.naver.com/item/news_read.naver?article_id=0000499496&office_id=374&code=010130&sm=entity_id.basic', 'provider': 'NAVER_FINANCE'}",주총 직전 불거진 사칭 위임장,0.0,0.0,0.0,1.0,1.0,2026-03-22 00:00:00+09:00,1.0,0.5,0.6228060421555648,2.9774030140320846
NAVER_FINANCE,NAVER_FINANCE,010130,고려아연,우군 이탈 우려…고려아연 경영권 분쟁 전운 고조,,2026-03-22 00:00:00+09:00,"{'id': 'NAVER_FINANCE', 'code': '010130', 'name': '고려아연', 'title': '우군 이탈 우려…고려아연 경영권 분쟁 전운 고조', 'published_at': '2026-03-22T00:00:00+09:00', 'link': 'https://finance.naver.com/item/news_read.naver?article_id=0003409959&office_id=030&code=010130&sm=entity_id.basic', 'provider': 'NAVER_FINANCE'}",우군 이탈 우려 고려아연 경영권 분쟁 전운 고조,0.0,-1.0,1.0,1.0,1.0,2026-03-22 00:00:00+09:00,1.0,0.5,0.6228060421555648,1.2600167627210668
NAVER_FINANCE,NAVER_FINANCE,010130,고려아연,"고려아연 주총, 경영진 수성 유력...",,2026-03-22 00:00:00+09:00,"{'id': 'NAVER_FINANCE', 'code': '010130', 'name': '고려아연', 'title': '고려아연 주총, 경영진 수성 유력...', 'published_at': '2026-03-22T00:00:00+09:00', 'link': 'https://finance.naver.com/item/news_read.naver?article_id=0003017332&office_id=029&code=010130&sm=entity_id.basic', 'provider': 'NAVER_FINANCE'}",고려아연 주총 경영진 수성 유력,0.0,0.0,0.0,1.0,1.0,2026-03-22 00:00:00+09:00,1.0,0.5,0.6228060421555648,2.9774030140320846
NAVER_FINANCE,NAVER_FINANCE,010130,고려아연,11조 美 제련소 속도…최윤범 ‘크루서블’ 직접 챙...,,2026-03-22 00:00:00+09:00,"{'id': 'NAVER_FINANCE', 'code': '010130', 'name': '고려아연', 'title': '11조 美 제련소 속도…최윤범 ‘크루서블’ 직접 챙...', 'published_at': '2026-03-22T00:00:00+09:00', 'link': 'https://finance.naver.com/item/news_read.naver?article_id=0004602041&office_id=011&code=010130&sm=entity_id.basic', 'provider': 'NAVER_FINANCE'}",11조 제련소 속도 최윤범 크루서블 직접 챙,0.0,0.0,0.0,1.0,1.0,2026-03-22 00:00:00+09:00,1.0,0.5,0.6228060421555648,2.9774030140320846
