symbol,name,sector,composite_score,value_score,momentum_score,quality_score,flow_score,news_score,analyst_conviction_score,analyst_avg_score,analyst_report_count,analyst_broker_diversity,analyst_target_revision_pct,analyst_novelty_score,analyst_fwd_ret_5d,analyst_fwd_ret_20d,analyst_alpha_ret_5d,analyst_alpha_ret_20d,analyst_bias_adjustment,analyst_parse_quality_score,analyst_pdf_coverage,analyst_target_upside_pct,analyst_target_dispersion_pct,analyst_agreement_score,analyst_recency_score,analyst_latest_title,analyst_revision_breadth_score,analyst_revision_breadth_count,analyst_positive_revision_ratio,analyst_peer_spillover_score,analyst_peer_alpha_5d,analyst_peer_support_count,event_alpha_score,event_expected_alpha_5d,event_recent_count,event_recent_positive_count,event_recent_negative_count,event_last_type,event_last_bias,event_last_days_ago,macro_sector_score,macro_regime_score,macro_micro_interaction_score,ml_pred_return_5d,ml_pred_score,ml_sector_score,ml_model_type,ml_train_rows,flow_top_brokers,flow_event_mix,micro_ofi,micro_foreign_pressure,micro_broker_concentration,micro_queue_imbalance,micro_absorption_score,microstructure_score,flow_intraday_samples,flow_intraday_avg_5m,flow_intraday_avg_15m,flow_intraday_avg_30m,flow_intraday_avg_60m,flow_intraday_last_event,flow_intraday_last_captured_at,factor_rank_score,analyst_rank_score,flow_state_score,flow_rank_score,flow_intraday_edge_score,flow_intraday_rank_score,micro_rank_score,macro_rank_score,ml_rank_score,event_rank_score,active_source_count,card_score
017960,한국카본,조선,0.6899830625615515,0.4775434065145645,0.8250852561287344,0.7114153154445879,0.7908333333333333,0.5,10.3569,3.9355,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,-0.0521,0.537,0.0,33.6516,0.0,1.0,0.4888,LNG 보냉제 성장에 방산까지 영역 확대,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,2.8,0.7159846547314578,-0.6824353054829898,0.8900255754475703,0.6076726342710997,ridge,68,,,,,,,,,0,,,,,,,0.98,0.8690476190476191,,,,,,0.9744245524296675,0.8900255754475703,,4,0.8664693322981366
120110,코오롱인더,화학/석유화학,0.6596796067873232,0.7297854785478548,0.8000393004740831,0.2827397522360931,0.8179166666666666,0.5,10.2223,4.0977,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,-0.0102,1.0,1.0,27.2189,0.0,1.0,0.5136,"코오롱인더(120110) 실적은 반등, 포트폴리오는 진화",1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,2.8,0.7182864450127877,-0.5554961381571952,0.9462915601023018,0.7036445012787724,ridge,68,,,,,,,,,0,,,,,,,0.9566666666666667,0.8452380952380952,,,,,,0.979539641943734,0.9462915601023018,,4,0.8626087765269149
023530,롯데쇼핑,유통/백화점,0.6972519395417803,0.9492036160137752,0.6796267018006149,0.496532979384895,0.9233333333333332,0.5,9.7975,3.1377,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,-0.0608,0.6198,0.0,33.7047,0.0,1.0,0.5397,백화점에서 확산되는 온기(溫氣),1.0,1.0,1.0,0.0874,0.0,1.0,,,0.0,0.0,0.0,,,,0.0,2.8,0.709079283887468,-0.6489569834131103,0.9028132992327366,0.592071611253197,ridge,68,,,,,,,,,0,,,,,,,0.9866666666666667,0.7738095238095238,,,,,,0.959079283887468,0.9028132992327366,,4,0.846118821169772
010950,S-Oil,화학/석유화학,0.5971985760382058,0.7810302769407375,0.5060262828958481,0.2704414789305018,0.7316666666666667,0.5,10.9871,4.3043,2.0,2.0,0.0,0.7982,0.0,0.0,0.0,0.0,-0.0438,0.7891,0.5,23.1818,3.321,0.6668,0.5671,"호르무즈 봉쇄, 오히려 전화위복!",1.0,2.0,1.0,0.3577,0.0,1.0,,,0.0,0.0,0.0,,,,0.0,2.8,0.7205882352941176,-0.4782577989310921,0.9769820971867008,0.7036445012787724,ridge,68,,,,,,,,,0,,,,,,,0.83,0.9047619047619048,,,,,,0.9846547314578005,0.9769820971867008,,4,0.8402841129658384
004170,신세계,유통/백화점,0.6130214009171264,0.7220906873296026,0.6138784050088398,0.5481011144592721,0.6691666666666667,0.5,10.1785,4.3338,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.5812,0.0,22.1167,0.0,1.0,0.4888,인바운드 증가 모멘텀은 2Q에 더 강화될 전망,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,2.8,0.7194373401534526,-0.5501892012189032,0.948849104859335,0.592071611253197,ridge,68,,,,,,,,,0,,,,,,,0.8766666666666667,0.8214285714285714,,,,,,0.9820971867007673,0.948849104859335,,4,0.8310676274585921
011070,LG이노텍,디스플레이/IT부품,0.7025422514481103,0.91752762232745,0.7063868562998998,0.3259133304634811,0.9441666666666668,0.5,9.1862,2.8568,2.0,2.0,0.0,0.7964,0.0,0.0,0.0,0.0,-0.0036,0.5832,0.0,17.5549,4.0,0.96,0.5671,안 살 이유가 없다,1.0,2.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,2.8,0.7044757033248081,-0.6342921919971511,0.9156010230179028,0.45353793691389593,ridge,68,,,,,,,,,0,,,,,,,0.99,0.6666666666666666,,,,,,0.948849104859335,0.9156010230179028,,4,0.8224269701086956
005930,삼성전자,IT하드웨어 (반도체),0.6050741820369328,0.6235471373224278,0.8770868551738117,0.8051002056727411,0.2533333333333333,0.5041666666666668,9.3205,0.8118,3.0,3.0,0.0,0.7945,8.6649,0.0,3.4968,0.0,-0.0114,0.7505,0.3333,33.9492,4.8766,0.7512,0.5397,진정한 풀스택,0.6649,2.0,1.0,0.0503,0.0,1.0,,,0.0,0.0,0.0,,,,8.0,2.8,0.9403452685421996,0.1804182122996216,0.9948849104859335,0.9961636828644501,ridge,68,,,,,,,,,0,,,,,,,0.86,0.7023809523809523,,,,,,0.9948849104859335,0.9948849104859335,,4,0.8059394409937887
004000,롯데정밀화학,화학,0.6006441675527642,0.701750609843593,0.67758492393275,0.5778167599368632,0.5991666666666666,0.5,9.3914,3.8189,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,23.2877,0.0,1.0,0.4888,롯데정밀화학(004000) 암모니아 가격 상승으로 인한 반사수혜 전망,1.0,1.0,1.0,-0.2757,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,2.8,0.7125319693094629,-0.5694419898200384,0.9360613810741688,0.4722604760967932,ridge,68,,,,,,,,,0,,,,,,,0.8433333333333334,0.7261904761904762,,,,,,0.9667519181585678,0.9360613810741688,,4,0.7933597793737058
178320,서진시스템,통신장비/네트워크,0.6326365403993021,0.4290429042904291,0.864220623177145,0.3924642464246424,0.7304166666666667,0.5,9.1841,2.3987,2.0,1.0,0.0,0.6977,0.0,0.0,0.0,0.0,-0.0038,0.925,0.5,47.2135,0.0,1.0,0.4888,서진시스템(178320) 수직계열화의 신이 보여줄 Showtime,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,2.8,0.6975703324808185,-0.7066024803944433,0.8823529411764706,0.9104859335038363,ridge,68,,,,,,,,,0,,,,,,,0.93,0.6547619047619048,,,,,,0.9360613810741688,0.8823529411764706,,4,0.7928316673136645
010060,OCI홀딩스,화학,0.5721006278108302,0.4186396900559621,0.9089028523811132,0.2115255656000383,0.6516666666666667,0.5,9.8985,2.9182,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,-0.043,0.6035,0.0,77.6316,0.0,1.0,0.5959,태양광 중심으로 재편되는 에너지 안보 패러..,1.0,1.0,1.0,0.0453,0.0,1.0,,,0.0,0.0,0.0,,,,0.0,2.8,0.7021739130434783,-0.5687840299906352,0.9411764705882353,0.4722604760967932,ridge,68,,,,,,,,,0,,,,,,,0.7366666666666667,0.7976190476190477,,,,,,0.9437340153452686,0.9411764705882353,,4,0.7730828642598344
