symbol,name,sector,composite_score,value_score,momentum_score,quality_score,flow_score,news_score,analyst_conviction_score,analyst_avg_score,analyst_report_count,analyst_broker_diversity,analyst_target_revision_pct,analyst_novelty_score,analyst_fwd_ret_5d,analyst_fwd_ret_20d,analyst_alpha_ret_5d,analyst_alpha_ret_20d,analyst_bias_adjustment,analyst_parse_quality_score,analyst_pdf_coverage,analyst_target_upside_pct,analyst_target_dispersion_pct,analyst_agreement_score,analyst_recency_score,analyst_latest_title,analyst_revision_breadth_score,analyst_revision_breadth_count,analyst_positive_revision_ratio,analyst_peer_spillover_score,analyst_peer_alpha_5d,analyst_peer_support_count,event_alpha_score,event_expected_alpha_1d,event_expected_alpha_3d,event_expected_alpha_5d,event_recent_count,event_recent_positive_count,event_recent_negative_count,event_last_type,event_last_bias,event_last_days_ago,event_best_strategy,event_backtest_confidence,event_valid_sample_size,event_price_coverage_pct,event_interpretation_label,event_interpretation_note,event_tactical_label,event_tactical_note,event_interpretable_score,event_win_rate_5d,event_sample_size,event_reaction_profile,macro_sector_score,macro_regime_score,macro_micro_interaction_score,ml_pred_return_5d,ml_pred_score,ml_sector_score,ml_model_type,ml_train_rows,flow_top_brokers,flow_event_mix,micro_ofi,micro_foreign_pressure,micro_broker_concentration,micro_queue_imbalance,micro_absorption_score,microstructure_score,flow_intraday_samples,flow_intraday_avg_5m,flow_intraday_avg_15m,flow_intraday_avg_30m,flow_intraday_avg_60m,flow_intraday_last_event,flow_intraday_last_captured_at,factor_rank_score,analyst_rank_score,flow_state_score,flow_rank_score,flow_intraday_edge_score,flow_intraday_rank_score,micro_rank_score,macro_rank_score,ml_rank_score,event_rank_score,active_source_count,card_score
006400,삼성SDI,2차전지/배터리,0.5880000000000001,0.5,0.8,0.4666666666666666,0.5,0.5,8.9045,2.3091,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0181,0.582,0.0,28.7554,0.0,1.0,0.538,26년 영업 흑자 전환 예상,1.0,1.0,1.0,0.2414,0.0,1.0,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,0.0,,0.0,,0.0,0.6,0.673489010989011,0.0726364078882764,0.9010989010989011,0.635989010989011,numpy_mlp,413,,,,,,,,,0,,,,,,,0.94,0.6309523809523809,,,,,,0.8791208791208791,0.9010989010989011,,4,0.7866414835164833
000150,두산,복합기업,0.5316,0.5,0.7,0.3533333333333333,0.5,0.5,10.3273,3.6428,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.2359,0.6018,0.0,30.6729,0.0,1.0,0.4873,서버 구조의 변화는 중장기 성장의 근거,1.0,1.0,1.0,0.278,0.0,1.0,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,0.0,,0.0,,0.0,0.6,0.710576923076923,0.1097111514383097,0.9395604395604396,0.8241758241758242,numpy_mlp,413,,,,,,,,,0,,,,,,,0.68,0.8571428571428571,,,,,,0.9560439560439561,0.9395604395604396,,4,0.7697115384615384
005930,삼성전자,IT하드웨어 (반도체),0.51728,0.5,0.564,0.4733333333333333,0.5,0.5,9.2928,0.8118,3.0,3.0,0.0,0.7945,8.6649,0.0,3.4968,0.0,-0.0114,0.7505,0.3333,33.9492,4.8766,0.7512,0.512,진정한 풀스택,0.6649,2.0,1.0,0.0503,0.0,1.0,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,0.0,,0.0,,8.0,0.6,0.8792582417582419,0.41304965664093607,0.9945054945054945,0.9917582417582418,numpy_mlp,413,,,,,,,,,0,,,,,,,0.58,0.7023809523809523,,,,,,0.989010989010989,0.9945054945054945,,4,0.7122081043956043
000660,SK하이닉스,IT하드웨어 (반도체),0.5256799999999999,0.5,0.584,0.4066666666666667,0.5,0.5,7.387,0.8675,2.0,2.0,0.0,0.7979,0.0,0.0,0.0,0.0,0.0,0.6522,0.0,40.9048,3.01,0.6699,0.4637,HBM 전선 이상 무,0.5,1.0,1.0,0.2701,3.4968,1.0,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,0.0,,0.0,,8.0,0.6,0.8866758241758242,0.457690483133625,1.0,0.9917582417582418,numpy_mlp,413,,,,,,,,,0,,,,,,,0.62,0.42857142857142855,,,,,,0.9945054945054945,1.0,,4,0.661564217032967
316140,우리금융지주,금융지주/은행,0.5306400000000001,0.5,0.592,0.6466666666666666,0.5,0.5,7.4277,1.2972,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.2125,0.6347,0.0,19.4444,0.0,1.0,0.512,동양생명 완전자회사화는 ABL생명 통합을 위..,1.0,1.0,1.0,0.2636,0.0,1.0,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,0.0,,0.0,,0.0,0.6,0.6289835164835165,0.07906257637819596,0.9120879120879121,0.6217948717948718,numpy_mlp,413,,,,,,,,,0,,,,,,,0.66,0.44047619047619047,,,,,,0.7802197802197802,0.9120879120879121,,4,0.6380666208791208
034730,SK,석유와가스,0.48176,0.5,0.4679999999999999,0.4933333333333333,0.5,0.5,8.1929,3.3901,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.1981,0.6498,0.0,-0.2494,0.0,1.0,0.5653,자사주 소각에 따른 재무적 효과 결국 주가에..,1.0,1.0,1.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,0.0,,0.0,,0.0,0.6,0.7056318681318681,0.07058475712994536,0.8956043956043956,0.7335164835164836,numpy_mlp,413,,,,,,,,,0,,,,,,,0.4,0.5714285714285714,,,,,,0.945054945054945,0.8956043956043956,,4,0.6001201923076922
373220,LG에너지솔루션,2차전지/배터리,0.48616,0.5,0.5880000000000001,0.56,0.5,0.5,7.8958,1.6047,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0132,0.5873,0.0,21.7799,0.0,1.0,0.538,26년 ESS 추정치 추가 상향 조정,1.0,1.0,1.0,0.2784,0.0,1.0,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,0.0,,0.0,,0.0,0.6,0.6462912087912087,0.08782555409351225,0.9230769230769231,0.635989010989011,numpy_mlp,413,,,,,,,,,0,,,,,,,0.46,0.5,,,,,,0.8186813186813187,0.9230769230769231,,4,0.592239010989011
005380,현대차,자동차/완성차,0.50424,0.5,0.412,0.4866666666666666,0.5,0.5,6.6984,1.9298,2.0,1.0,0.0,0.7725,0.0,0.0,0.0,0.0,-0.0095,0.7945,0.5,-2.0772,0.0,1.0,0.4637,현대차(005380) 팰리세이드 리콜 관련 업데이트,1.0,1.0,1.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,0.0,,0.0,,0.0,0.6,0.6635989010989011,-0.028658735325607615,0.7197802197802198,0.7032967032967034,numpy_mlp,413,,,,,,,,,0,,,,,,,0.5,0.36904761904761907,,,,,,0.8571428571428571,0.7197802197802198,,4,0.5464114010989011
207940,삼성바이오로직스,제약/바이오 (대형),0.47096,0.5,0.488,0.62,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,0.864,-1.5758,-4.0709,-0.6566,1.0,0.0,1.0,DILUTION,negative,10.76,immediate_close,낮음,1.0,25.0,표본 얕음,가격이 충분히 붙지 않아 아직 과신보다 관찰이 먼저입니다.,표본 얕음,재료는 보이지만 아직 단독 판단 근거로 쓰기에는 표본이 적습니다.,-0.1843,100.0,4.0,초기 반응과 유지력,0.0,0.6,0.52760989010989,-0.08855795158347472,0.5439560439560439,0.5467032967032968,numpy_mlp,413,,,,,,,,,0,,,,,,,0.34,,,,,,,0.5686813186813187,0.5439560439560439,0.975,4,0.5287725667189953
019180,티에이치엔,자동차부품,,,,,,,4.9805,0.1516,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.2185,0.5785,0.0,0.0,0.0,1.0,0.512,P/E가 3배도 안 되네요,1.0,1.0,1.0,-0.0109,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,LARGE_HOLDER,neutral,11.52,immediate_close,낮음,1.0,20.0,표본 얕음,가격이 충분히 붙지 않아 아직 과신보다 관찰이 먼저입니다.,지연 반응형,당일보다 하루 이틀 뒤 반응을 확인하는 쪽이 더 어울립니다.,0.0676,100.0,5.0,시간차 반응,0.0,0.6,0.45343406593406593,-0.12044002124317998,0.42857142857142855,0.3940345368916797,numpy_mlp,413,,,,,,,,,0,,,,,,,,0.17857142857142858,,,,,,0.4065934065934066,0.42857142857142855,0.5333333333333333,4,0.37596621066008823
